"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Amager Vest - Bryggen Syd";830577
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Amager Vest - Faste Batteri";507295
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Amager Vest - Gamle Bryggen";470826
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Amager Vest - Grønjordssøen (Ørestad Nord and Vejlandskvarter)";402797
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Amager Vest - Kolonihavekvarteret";366932
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Amager Vest - Sundbyvester";437302
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Amager Vest - Sundholmsvejs kvarteret";329985
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Amager Vest - Urbanplanen";308634
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Amager Vest - Ørestad City";444226
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Amager Vest - Ørestad Syd";452272
